030ALLDREN RUTH   G212020000
185DONNEMAN THOMASG060423009
325HATFIELD MARK  G011122002
730REEDE OWEN     G090555010
111CARTOLER VIOLETG020998007
999BAKER RON      G033000014
181DELBERT EDWARD G120659013
318HANEY CAROL    G095000014
027ALHOUER ELAINE G012573002
317HANBEE ALETA   G035000003
806STOCKTON NORMANG062507007
207EBERHARDT RON  G054007009
308GLEASON JAMES  G015000003
292EVERLEY DONNA  G032000017
409ICK MICK       G259999999
607ODELLE NICK    G102507018
332HELD ANNA      G024000002
802SHEA MICHAEL   G062033008
102BELLSLEY ART   G083000009
282ESTABAN JUAN   G194055000
505LAMBERT JERRY  G014001004
215EDSON WILBUR   G067050008
004ACHER WILLIAM  N010726005
590NEIL CLARENCE  N070065009
801SCHEIBER HARRY N011000000
956WANGLEY THEO   N010999991
311GROLER GRACE   N230643020
487KING MILDRED   N180919963
834TRAWLEY HARRIS N057326005
171COSTA NAN      N150356005
739RIDEL ROBERT   N050194008
122CENNA DICK     N035777004
568LYNNF GERALD   N094487013
909UDSON DORIS    N014499003
100BATES TONY     N081066020
179DAMSON ERIC    N032502018
825TILLMAN DON    N120444019
214EDMONSON RICK  N021000000
310GORMALLY MARIE N033022006
689OWNEY REED     N043174603
322HARLETON JEAN  N070899012
921ULL GEORGE     N182298851
105BOYLE RALPH    N088044014
315HALE ALAN      N124000016
